,k,destRegion,originRegion,migrations,originPop,destPop
379,0,ChineseAsia,GermanEurope,0,113855625,1393132348
380,0,ChineseAsia,ArabicMiddleEast,0,129648409,1393132348
381,0,ChineseAsia,ArabicWestAfrica,0,3609543,1393132348
382,0,ChineseAsia,Angola,0,23369131,1393132348
383,0,ChineseAsia,AustrailiaNewZealand,0,26490126,1393132348
384,0,ChineseAsia,SpanishSouthAmerica,0,198483935,1393132348
385,0,ChineseAsia,EastAfrica,0,313782635,1393132348
386,0,ChineseAsia,SouthernAfrica,0,59016093,1393132348
387,0,ChineseAsia,USA,0,308711621,1393132348
388,0,ChineseAsia,NorthAfrica,0,204310190,1393132348
389,0,ChineseAsia,PersianMiddleEast,0,103370678,1393132348
390,0,ChineseAsia,Canada,0,34168668,1393132348
391,0,ChineseAsia,IndianSubcontinent,0,1602003617,1393132348
392,0,ChineseAsia,FrenchEurope,0,74473368,1393132348
393,0,ChineseAsia,Tajikistan,0,7641630,1393132348
394,-1.02E-08,ChineseAsia,Portugal,-22.6,10652321,1393132348
395,0,ChineseAsia,NordicCountries,0,32140303,1393132348
396,-2.00E-09,ChineseAsia,Korea,-23.4,74144454,1393132348
397,2.92E-06,EastAfrica,Angola,7268,23369131,313782635
398,6.75E-06,EastAfrica,Somalia,9500.8,12053223,313782635
399,2.20E-08,EastAfrica,Canada,76.2,34168668,313782635
